"Course ID","Subject code","Catalog Number","Offering Unit","Course Title","Course Description","Min Units","Max Units","Repeatable for Credit","Total Completions Allowed","Total Units Allowed","Grading Basis","Components","Course Attributes","Enrollment Requirements","Course Requisites"
"013134","HDFS","503","Educational Psychology","Advanced Adolescent Development","Major developmental tasks within the adolescent years. Emphasis on the importance or theoretically grounded research and the integration of theory, research and practice.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","CE - CL (Cross Listed)","-","-"
"015478","HDFS","505","Family Studies and Human Dev","Theories of Counseling","Techniques for the study of human behavior; implications for improving adult-child relationships, applying various theories of counseling.  Graduate-level requirements include an additional research paper dealing with a theoretical aspect of Adlerian psychology.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","-"
"015479","HDFS","507A","Family Studies and Human Dev","Research Methods in Human Development and Family Science","In this course, we will read about and discuss the central research methods used in human development and family science (HDFS). We will cover a range of data collection techniques (e.g., observational, daily diary, interview) and will consider their purposes, advantages, and challenges. We will also consider some key methodological issues in the design of research and will expose you to a number of styles of research (e.g., secondary/archival data analysis, applied/action-oriented, experimental intervention programs). We will also address some of the pragmatic skills needed to successfully engage in research, such as proposal writing and peer reviewing.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","-"
"015480","HDFS","507B","Family Studies and Human Dev","Research Methods in Family Studies and Human Development","Measurement, sampling, and design issues of particular relevance to family and developmental research.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","-"
"043010","HDFS","511","Family Studies and Human Dev","Understanding Suicide: Prevention, Intervention, Families & Communities","This course will examine suicide and its implications for individuals and families across the lifespan. Students will learn about historical and cultural perspectives on suicide. Special focus will be given to learning about prevention and intervention efforts, as well as supporting families whose members are experiencing suicidal thoughts or who have lost members to suicide. The course will familiarize students with evidence-based strategies for suicide risk assessment, intervention efforts, and community prevention. Students will practice risk-assessment conversations, create safety plans, and develop suggestions to improve community- or school-based suicide prevention/postvention programs.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","HDFS 117 or  PSY 101 or Equivalent."
"015483","HDFS","513","Family Studies and Human Dev","Issues in Aging","This course addresses major issues facing older adults and their families, society, and how earlier life experiences influence our older adult years.  This class will tackle questions such as:  What opportunities and challenges do adults face as they age?  What resources and barriers shape their lives?  How do physiological, psychological, interpersonal/family, economic, and socio-historical factors affect the experience of aging?  How do gender, social class, and ethnicity influence the experience of aging?  How do government policies, community services, the healthcare system, and health interventions affect the lives and well-being of older adults?","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","CE - CL (Cross Listed)","-","-"
"028685","HDFS","515","Psychology","The Design of the Mind: Genes, Adaptation, and Behavior","Part I: Basic mechanisms of behavioral evolution, genetics, and natural selection, as well as other factors impinging on the evolutionary process. Part II: Historical approaches that converge upon the broadly defined research program of behavioral evolution, theoretical perspectives, and empirical contributions made by each of these approaches, and current controversies in the field, framed as a single integrated area of study in which multiple approaches and perspectives can contribute to a comprehensive understanding. Graduate-level requirements include in-class oral presentations.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","CE - CL (Cross Listed)","-","-"
"042954","HDFS","536","Family Studies and Human Dev","Introductory Graduate Statistics","This is a graduate level course covering statistical techniques commonly used in quantitative social science research. Students will learn to identify, explain, and apply statistical reasoning and methods and how to correctly apply such methods to various research questions. The course will cover a variety of statistical methods (including descriptive statistics, visualization, chi-square analysis, t-tests, analysis of variance (ANOVA), simple and multiple linear regression, and logistic regression) using multiple computer programs including R/R Studio and IBM SPSS. Students will learn to effectively interpret and describe the results of their work using current standards for reporting statistical analyses. This course will provide the conceptual and technical skills required for students to perform well in more advanced statistical courses.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","-"
"015487","HDFS","537A","Family Studies and Human Dev","Statistical Inference for the Social Sciences","This course provides an introduction to the logic and application of statistical methods for analysing data relevant to human behaviour, development, and relationships. It covers both traditional Null Hypothesis Significance Testing (NHST) and the more contemporary approach of Bayesian inference. Topics covered include data management and screening; methods for describing and presenting data; t-tests; categorical data; analysis of variance; correlation/ regression; and advanced applications of multiple regression such as moderator analyses. The major objectives of this course are for students to gain a conceptual understanding of statistical inference, learn how to implement statistical analyses using R (a free, open-source program), interpret R output, and communicate the results of statistical analyses in clear language and APA approved format.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","Consent of instructor. Concurrent registration with HDFS 537L required."
"015488","HDFS","537B","Family Studies and Human Dev","Intermediate Quantitative Analysis","Focus on intermediate univariate and multivariate statistics as applied to research in Human Development and Family Science.  This material builds upon the topics covered in HDFS 537A, and provides a foundation for the study of more advanced quantitative techniques.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","-"
